Number,Lat,Lon,Landcover_classification,Corrected_Peat_thickness_m,Measured_Carbon_density_Mg_ha
593,1.52468,18.84029,Hardwood peat swamp forest,1.82,NA
594,1.52646,18.83883,Hardwood peat swamp forest,1.94,NA
595,1.52816,18.83739,Hardwood peat swamp forest,1.69,NA
596,1.52985,18.83588,Hardwood peat swamp forest,1.3,"1,138"
597,1.54022,18.82667,Hardwood peat swamp forest,2.28,NA
598,1.50325,18.95113,Savanna,0,NA
599,1.50489,18.95279,Non-peat forming forest,0.15,NA
600,1.50663,18.95423,Non-peat forming forest,0,NA
601,1.50353,18.95071,Savanna,0,NA
602,1.50476,18.94883,Non-peat forming forest,0,NA
603,1.50602,18.94706,Non-peat forming forest,0,NA
604,1.50735,18.94523,Hardwood peat swamp forest,0.45,NA
605,1.35505,18.90672,Non-peat forming forest,0,NA
606,1.35339,18.90818,Non-peat forming forest,0,NA
607,1.35195,18.90995,Non-peat forming forest,0,NA
608,1.35038,18.91148,Non-peat forming forest,0,NA
609,1.34896,18.91324,Non-peat forming forest,0,NA
610,1.34766,18.91504,Non-peat forming forest,0,NA
611,1.34613,18.91666,Non-peat forming forest,0,NA
612,1.34465,18.91835,Non-peat forming forest,0,NA
613,1.34325,18.92018,Non-peat forming forest,0,NA
614,1.34178,18.92189,Non-peat forming forest,0,NA
615,1.34031,18.92363,Non-peat forming forest,0,NA
616,1.33876,18.92525,Non-peat forming forest,0,NA
617,1.33735,18.92702,Non-peat forming forest,0,NA
618,0.85633,18.33914,Non-peat forming forest,0,NA
619,0.85576,18.33695,Non-peat forming forest,0,NA
620,0.85511,18.33482,Non-peat forming forest,0,NA
621,0.85453,18.33265,Hardwood peat swamp forest,0.74,NA
622,0.85392,18.33043,Non-peat forming forest,0,NA
623,0.85324,18.32834,Non-peat forming forest,0,NA
624,0.8526,18.32616,Hardwood peat swamp forest,0.3,NA
625,0.32802,18.24985,Non-peat forming forest,0,NA
626,0.32839,18.24759,Non-peat forming forest,0,NA
627,0.32863,18.24545,Non-peat forming forest,0,NA
628,0.32906,18.24321,Non-peat forming forest,0.06,NA
629,0.32938,18.24102,Hardwood peat swamp forest,0.5,84
630,0.32977,18.23878,Hardwood peat swamp forest,1,NA
631,0.33014,18.23658,Non-peat forming forest,0,NA
632,0.33039,18.23437,Non-peat forming forest,0,NA
633,0.3307,18.23214,Non-peat forming forest,0,NA
634,0.33097,18.22995,Hardwood peat swamp forest,0.8,NA
635,0.33132,18.22771,Hardwood peat swamp forest,0.63,NA
636,0.33161,18.2255,Hardwood peat swamp forest,1.57,NA
637,0.33198,18.22333,Hardwood peat swamp forest,0.6,373
638,0.3323,18.2211,Palm peat swamp forest,1.89,NA
639,0.33262,18.21887,Palm peat swamp forest,3.71,NA
640,0.33298,18.21663,Non-peat forming forest,0,NA
641,0.33336,18.21435,Palm peat swamp forest,0.4,191
642,0.33365,18.21212,Palm peat swamp forest,0.96,NA
643,0.33408,18.20989,Palm peat swamp forest,1.77,NA
644,0.33427,18.20764,Palm peat swamp forest,1.87,NA
645,0.33466,18.20542,Palm peat swamp forest,1.7,NA
646,0.33505,18.20315,Palm peat swamp forest,1.78,NA
647,0.33533,18.20089,Palm peat swamp forest,2.58,NA
648,0.33569,18.19863,Palm peat swamp forest,2.01,NA
649,0.33605,18.19639,Palm peat swamp forest,2.5,"1,125"
650,1.0163,18.51671,Non-peat forming forest,0,NA
651,1.01483,18.51848,Non-peat forming forest,0,NA
652,1.01348,18.52023,Non-peat forming forest,0,NA
653,1.01208,18.52198,Non-peat forming forest,0,NA
654,1.01085,18.52388,Palm peat swamp forest,0.6,57
655,1.00954,18.52573,Non-peat forming forest,0,NA
656,1.00825,18.52757,Non-peat forming forest,0,NA
657,1.00705,18.52938,Hardwood peat swamp forest,0.38,NA
658,1.0058,18.53126,Non-peat forming forest,0,NA
659,1.00452,18.53312,Palm peat swamp forest,0.34,NA
660,1.00321,18.53496,Palm peat swamp forest,1.09,NA
661,1.00196,18.53683,Palm peat swamp forest,0.48,NA
662,1.00066,18.53868,Palm peat swamp forest,0.9,NA
663,0.99944,18.54058,Palm peat swamp forest,0.98,NA
664,0.99813,18.54244,Palm peat swamp forest,1.69,NA
665,0.99684,18.5443,Palm peat swamp forest,1.99,NA
666,0.99557,18.54614,Palm peat swamp forest,1.5,"1,095"
667,0.99423,18.54793,Hardwood peat swamp forest,0.95,NA
668,0.99296,18.54988,Hardwood peat swamp forest,1.45,NA
669,0.99168,18.55176,Hardwood peat swamp forest,2.1,NA
670,0.99039,18.5536,Hardwood peat swamp forest,0.3,NA
671,0.98911,18.55545,Palm peat swamp forest,1.77,NA
672,0.98782,18.55741,Palm peat swamp forest,1.57,NA
673,0.9866,18.55932,Palm peat swamp forest,2.75,NA
674,0.98522,18.56108,Palm peat swamp forest,1.4,"1,091"
924,1.34651,18.90411,Non-peat forming forest,0.15,NA
925,1.34635,18.90265,Non-peat forming forest,0,NA
926,-0.30553,21.25445,Savanna,0,NA
927,-0.27753,21.2537,Hardwood peat swamp forest,2.1,NA
928,-1.14359,19.78914,Palm peat swamp forest,1.6,NA
929,-1.14139,19.78281,Palm peat swamp forest,2.6,NA
930,-1.14186,19.78173,Palm peat swamp forest,1.6,NA
931,-1.14368,19.78921,Palm peat swamp forest,3.13,NA
932,-0.85641,19.80802,Palm peat swamp forest,2.5,NA
933,-0.85304,19.80838,Palm peat swamp forest,2,NA
934,-0.85669,19.80808,Palm peat swamp forest,1.8,NA
935,-0.03268,18.18902,Savanna,0,NA
936,-0.03531,18.18745,Non-peat forming forest,0,NA
937,-0.04,18.1967,Non-peat forming forest,0,NA
